date-time,mu,std,beta1,beta2
2019-09-28 22:00:00,,inf,0.0,0.0
2019-09-28 22:20:00,,inf,0.0,0.0
2019-09-28 22:40:00,,inf,0.0,0.0
2019-09-28 23:00:00,,inf,0.0,0.0
2019-09-28 23:20:00,,inf,0.0,0.0
2019-09-28 23:40:00,,inf,0.0,0.0
2019-09-29 00:00:00,,inf,0.0,0.0
2019-09-29 00:20:00,,inf,0.0,0.0
2019-09-29 00:40:00,,inf,0.0,0.0
2019-09-29 01:00:00,,inf,0.0,0.0
2019-09-29 01:20:00,,inf,0.0,0.0
2019-09-29 01:40:00,,inf,0.0,0.0
2019-09-29 02:00:00,,inf,0.0,0.0
2019-09-29 02:20:00,,inf,0.0,0.0
2019-09-29 02:40:00,,inf,0.0,0.0
2019-09-29 03:00:00,,inf,0.0,0.0
2019-09-29 03:20:00,,inf,0.0,0.0
2019-09-29 03:40:00,,inf,0.0,0.0
2019-09-29 04:00:00,,inf,0.0,0.0
2019-09-29 04:20:00,,inf,0.0,0.0
2019-09-29 04:40:00,,inf,0.0,0.0
2019-09-29 05:00:00,,inf,0.0,0.0
2019-09-29 05:20:00,,inf,0.0,0.0
2019-09-29 05:40:00,,inf,0.0,0.0
2019-09-29 06:00:00,,inf,0.0,0.0
2019-09-29 06:20:00,,inf,0.0,0.0
2019-09-29 06:40:00,,inf,0.0,0.0
2019-09-29 07:00:00,,inf,0.0,0.0
2019-09-29 07:20:00,,inf,0.0,0.0
2019-09-29 07:40:00,,inf,0.0,0.0
2019-09-29 08:00:00,,inf,0.0,0.0
2019-09-29 08:20:00,,inf,0.0,0.0
2019-09-29 08:40:00,,inf,0.0,0.0
2019-09-29 09:00:00,,inf,0.0,0.0
2019-09-29 09:20:00,,inf,0.0,0.0
2019-09-29 09:40:00,,inf,0.0,0.0
2019-09-29 10:00:00,,inf,0.0,0.0
2019-09-29 10:20:00,,inf,0.0,0.0
2019-09-29 10:40:00,,inf,0.0,0.0
2019-09-29 11:00:00,,inf,0.0,0.0
2019-09-29 11:20:00,,inf,0.0,0.0
2019-09-29 11:40:00,,inf,0.0,0.0
2019-09-29 12:00:00,,inf,0.0,0.0
2019-09-29 12:20:00,,inf,0.0,0.0
2019-09-29 12:40:00,,inf,0.0,0.0
2019-09-29 13:00:00,,inf,0.0,0.0
2019-09-29 13:20:00,,inf,0.0,0.0
2019-09-29 13:40:00,,inf,0.0,0.0
2019-09-29 14:00:00,,inf,0.0,0.0
2019-09-29 14:20:00,,inf,0.0,0.0
2019-09-29 14:40:00,,inf,0.0,0.0
2019-09-29 15:00:00,,inf,0.0,0.0
2019-09-29 15:20:00,,inf,0.0,0.0
2019-09-29 15:40:00,,inf,0.0,0.0
